id,query,rank,source1,docid1,source2,docid2,url1,url2,winner,comment
974,"A Boston University (BU) alum that is a head of a department or a founder at an AI first, or AI adjacent company. The company can be losely related to AI or LLMs, or might be working to building out their AI feature set. Only show people from the U.S.",3.0,Exa.AI,charles-wong-46046826,PeopleGPT,alievsky,https://linkedin.com/in/charles-wong-46046826,https://linkedin.com/in/alievsky,,
986,A backend engineer from a top computer science program living in san francisco with 5 years experience working in startups developing performant and scalable backend systems and databases,0.0,LinkedIn,chen-wei-christopher-hong-4b189162,Exa.AI,henrylu1,https://linkedin.com/in/chen-wei-christopher-hong-4b189162,https://linkedin.com/in/henrylu1,,
522,A backend engineer from a top computer science program living in san francisco with 5 years experience working in startups developing performant and scalable backend systems and databases,8.0,Exa.AI,andyqi,Pearch.AI,mattstrom,https://linkedin.com/in/andyqi,https://linkedin.com/in/mattstrom,,
570,A backend engineer from a top computer science program living in san francisco with 5 years experience working in startups developing performant and scalable backend systems and databases,5.0,PeopleGPT,jeffyip7,LinkedIn,bvaishnavi91,https://linkedin.com/in/jeffyip7,https://linkedin.com/in/bvaishnavi91,,
54,A backend engineer from a top computer science program living in san francisco with 5 years experience working in startups developing performant and scalable backend systems and databases,7.0,Pearch.AI,stevenschlansker,Exa.AI,jlo1,https://linkedin.com/in/stevenschlansker,https://linkedin.com/in/jlo1,,
292,A backend engineer from a top computer science program living in san francisco with 5 years experience working in startups developing performant and scalable backend systems and databases,3.0,LinkedIn,vinodpgowda,Pearch.AI,sean-schaffer,https://linkedin.com/in/vinodpgowda,https://linkedin.com/in/sean-schaffer,,
346,A backend engineer from a top computer science program living in san francisco with 5 years experience working in startups developing performant and scalable backend systems and databases,4.0,LinkedIn,devanshshri,PeopleGPT,kevin-wang-b96499128,https://linkedin.com/in/devanshshri,https://linkedin.com/in/kevin-wang-b96499128,,
737,A perception or computer vision engineer with experience at a startup related to self-driving cars or drones based in San Francisco,0.0,PeopleGPT,manlio-barajas,LinkedIn,alvinzhu88,https://linkedin.com/in/manlio-barajas,https://linkedin.com/in/alvinzhu88,,
687,A perception or computer vision engineer with experience at a startup related to self-driving cars or drones based in San Francisco,6.0,LinkedIn,ankur-deka,PeopleGPT,gerardmaggiolino,https://linkedin.com/in/ankur-deka,https://linkedin.com/in/gerardmaggiolino,,
209,A perception or computer vision engineer with experience at a startup related to self-driving cars or drones based in San Francisco,9.0,PeopleGPT,pavelsurmenok,LinkedIn,rreynoso8,https://linkedin.com/in/pavelsurmenok,https://linkedin.com/in/rreynoso8,,
319,AI strategy consultant with a technical background and a deep understanding of AI / ML. They need to have some inhouse experience and have been a founder in their career. Based in New York,0.0,Pearch.AI,applied-ai,PeopleGPT,vijaydivi,https://linkedin.com/in/applied-ai,https://linkedin.com/in/vijaydivi,,
277,AI strategy consultant with a technical background and a deep understanding of AI / ML. They need to have some inhouse experience and have been a founder in their career. Based in New York,2.0,Exa.AI,azizlookman,Pearch.AI,jiahao,https://linkedin.com/in/azizlookman,https://linkedin.com/in/jiahao,,
826,AI strategy consultant with a technical background and a deep understanding of AI / ML. They need to have some inhouse experience and have been a founder in their career. Based in New York,9.0,Pearch.AI,ramynoaman,PeopleGPT,jacobwoodward,https://linkedin.com/in/ramynoaman,https://linkedin.com/in/jacobwoodward,,
998,AI strategy consultant with a technical background and a deep understanding of AI / ML. They need to have some inhouse experience and have been a founder in their career. Based in New York,9.0,Exa.AI,isahan-k-a2a32031,LinkedIn,bidishasen13,https://linkedin.com/in/isahan-k-a2a32031,https://linkedin.com/in/bidishasen13,,
88,AI strategy consultant with a technical background and a deep understanding of AI / ML. They need to have some inhouse experience and have been a founder in their career. Based in New York,2.0,LinkedIn,kevinhawz,PeopleGPT,kruquet,https://linkedin.com/in/kevinhawz,https://linkedin.com/in/kruquet,,
30,Amazon PPC Specialist in e-commerce sector in Boston,4.0,Pearch.AI,gretchenmacon,Exa.AI,ana-carmela-agapay-385a00139,https://linkedin.com/in/gretchenmacon,https://linkedin.com/in/ana-carmela-agapay-385a00139,,
76,Amazon PPC Specialist in e-commerce sector in Boston,0.0,LinkedIn,lynnelhillow,Pearch.AI,dunnwilliam1,https://linkedin.com/in/lynnelhillow,https://linkedin.com/in/dunnwilliam1,,
136,Armenian tech guys how want to make charity. Only show people from the U.S.,7.0,Pearch.AI,patrickmalkassian,LinkedIn,jeronimomezzadra,https://linkedin.com/in/patrickmalkassian,https://linkedin.com/in/jeronimomezzadra,,
312,Armenian tech guys how want to make charity. Only show people from the U.S.,6.0,LinkedIn,nick-de-lorie-43395099,PeopleGPT,ellenpkelly,https://linkedin.com/in/nick-de-lorie-43395099,https://linkedin.com/in/ellenpkelly,,
70,Armenian tech guys how want to make charity. Only show people from the U.S.,7.0,LinkedIn,jeronimomezzadra,Exa.AI,rafayel,https://linkedin.com/in/jeronimomezzadra,https://linkedin.com/in/rafayel,,
548,"Business development manager (junior to mid-level, not senior or director-level) with experience in B2B SaaS AI products (productivity software), preferably in startups, based in Philadelphia",0.0,PeopleGPT,vincepaton,Pearch.AI,ryan-scomo-837850249,https://linkedin.com/in/vincepaton,https://linkedin.com/in/ryan-scomo-837850249,,
764,C-level and VP executives at software companies of 500 people or more. Only show people from the U.S.,1.0,Exa.AI,paul-stein-7729469,PeopleGPT,dyovanno,https://linkedin.com/in/paul-stein-7729469,https://linkedin.com/in/dyovanno,,
66,COO who speaks Russians with experience with working with companies who focus on education through content and sell courses. Only show people from the U.S.,1.0,PeopleGPT,annika-spriggs,LinkedIn,bonita-harriston-leadership-coach,https://linkedin.com/in/annika-spriggs,https://linkedin.com/in/bonita-harriston-leadership-coach,,
275,COO who speaks Russians with experience with working with companies who focus on education through content and sell courses. Only show people from the U.S.,4.0,PeopleGPT,suziezeldin,Exa.AI,elena-borysova-84ba119b,https://linkedin.com/in/suziezeldin,https://linkedin.com/in/elena-borysova-84ba119b,,
901,COO who speaks Russians with experience with working with companies who focus on education through content and sell courses. Only show people from the U.S.,6.0,PeopleGPT,neliandersen,LinkedIn,mikastratton,https://linkedin.com/in/neliandersen,https://linkedin.com/in/mikastratton,,
521,COO who speaks Russians with experience with working with companies who focus on education through content and sell courses. Only show people from the U.S.,6.0,LinkedIn,mikastratton,Exa.AI,katya-marchenko,https://linkedin.com/in/mikastratton,https://linkedin.com/in/katya-marchenko,,
740,COO who speaks Russians with experience with working with companies who focus on education through content and sell courses. Only show people from the U.S.,0.0,LinkedIn,ronenolshansky,PeopleGPT,yalouskikh,https://linkedin.com/in/ronenolshansky,https://linkedin.com/in/yalouskikh,,
678,COO who speaks Russians with experience with working with companies who focus on education through content and sell courses. Only show people from the U.S.,7.0,PeopleGPT,vlaslezin,Exa.AI,rita-vinokur-32b52083,https://linkedin.com/in/vlaslezin,https://linkedin.com/in/rita-vinokur-32b52083,,
679,Can you show me all the engineers who joined stripe before their series b. Only show people from the U.S.,4.0,Exa.AI,nalin-goel,Pearch.AI,ebroder,https://linkedin.com/in/nalin-goel,https://linkedin.com/in/ebroder,,
499,Can you show me all the engineers who joined stripe before their series b. Only show people from the U.S.,0.0,Pearch.AI,thairu,Exa.AI,meiling-li-276651156,https://linkedin.com/in/thairu,https://linkedin.com/in/meiling-li-276651156,,
866,"Current position should be customer success specialist, not director or VP of customer success, with prior experience in CPAAS. Only show people from the U.S.",6.0,Pearch.AI,jacob-soto-692029197,Exa.AI,brandi-abeyta-msm-b46bb447,https://linkedin.com/in/jacob-soto-692029197,https://linkedin.com/in/brandi-abeyta-msm-b46bb447,,
652,"Customer Success managers located in San Francisco with the following:

At least 3 years experience in B2B SaaS
Startup experience
Healthcare tech experience",4.0,Pearch.AI,madelineboon,LinkedIn,garrettleahy,https://linkedin.com/in/madelineboon,https://linkedin.com/in/garrettleahy,,
493,"Customer Success managers located in San Francisco with the following:

At least 3 years experience in B2B SaaS
Startup experience
Healthcare tech experience",2.0,PeopleGPT,iampaolacpostiglione,Exa.AI,luismanuelperez,https://linkedin.com/in/iampaolacpostiglione,https://linkedin.com/in/luismanuelperez,,
63,"Customer Success managers located in San Francisco with the following:

At least 3 years experience in B2B SaaS
Startup experience
Healthcare tech experience",9.0,LinkedIn,melody-morales-16b19041,Exa.AI,jason-huang-401116108,https://linkedin.com/in/melody-morales-16b19041,https://linkedin.com/in/jason-huang-401116108,,
714,"Customer Success managers located in San Francisco with the following:

At least 3 years experience in B2B SaaS
Startup experience
Healthcare tech experience",0.0,Exa.AI,bethany-waldo-77614092,LinkedIn,bruno-yoffe,https://linkedin.com/in/bethany-waldo-77614092,https://linkedin.com/in/bruno-yoffe,,
318,"Customer success managers with at least 3 years of experience who are located in the San Francisco Bay Area. I would like them to come from companies that are Series A, Series B, or Series C. They need to have worked in healthcare technology at a SAAS company",8.0,LinkedIn,rajiseshadri,PeopleGPT,stormy-maratas,https://linkedin.com/in/rajiseshadri,https://linkedin.com/in/stormy-maratas,,
289,"Customer success managers with at least 3 years of experience who are located in the San Francisco Bay Area. I would like them to come from companies that are Series A, Series B, or Series C. They need to have worked in healthcare technology at a SAAS company",5.0,Exa.AI,luismanuelperez,Pearch.AI,kate-scott-52035116a,https://linkedin.com/in/luismanuelperez,https://linkedin.com/in/kate-scott-52035116a,,
811,"Customer success managers with at least 3 years of experience who are located in the San Francisco Bay Area. I would like them to come from companies that are Series A, Series B, or Series C. They need to have worked in healthcare technology at a SAAS company",2.0,Pearch.AI,blakecain,LinkedIn,bruno-yoffe,https://linkedin.com/in/blakecain,https://linkedin.com/in/bruno-yoffe,,
601,Find me founders of California based tech companies that have from 10 to 300 employees and are currently actively hiring employees. But don't show me recruiters and don't show me those who work for recruitment agencies. Show me only people that currently are founders (and hide the ones that were founders someday but are not founders now.,2.0,Pearch.AI,samueldevyver,Exa.AI,sarah8962,https://linkedin.com/in/samueldevyver,https://linkedin.com/in/sarah8962,,
235,Find me founders of California based tech companies that have from 10 to 300 employees and are currently actively hiring employees. But don't show me recruiters and don't show me those who work for recruitment agencies. Show me only people that currently are founders (and hide the ones that were founders someday but are not founders now.,5.0,Pearch.AI,genevievejurvetson,Exa.AI,piyush-prahladka,https://linkedin.com/in/genevievejurvetson,https://linkedin.com/in/piyush-prahladka,,
899,"Founding Engineer in one of the recent jobs, with Flask or FastAPI experience, native Russian, stayed more than 1 year at the recent jobs. Only show people from the U.S.",9.0,PeopleGPT,alex-bozhenko-7770b632,LinkedIn,dmitry-ganshin,https://linkedin.com/in/alex-bozhenko-7770b632,https://linkedin.com/in/dmitry-ganshin,,
261,"Founding Engineer in one of the recent jobs, with Flask or FastAPI experience, native Russian, stayed more than 1 year at the recent jobs. Only show people from the U.S.",0.0,Pearch.AI,vasiliy-jigalov,Exa.AI,vysotskyidev,https://linkedin.com/in/vasiliy-jigalov,https://linkedin.com/in/vysotskyidev,,
299,"Founding Engineer in one of the recent jobs, with Flask or FastAPI experience, native Russian, stayed more than 1 year at the recent jobs. Only show people from the U.S.",4.0,LinkedIn,mikhail-kozlov-phd-0a14035,Pearch.AI,ivan-katkov,https://linkedin.com/in/mikhail-kozlov-phd-0a14035,https://linkedin.com/in/ivan-katkov,,
527,"Founding Engineer in one of the recent jobs, with Flask or FastAPI experience, native Russian, stayed more than 1 year at the recent jobs. Only show people from the U.S.",7.0,Exa.AI,cary-g-jones,LinkedIn,malexer,https://linkedin.com/in/cary-g-jones,https://linkedin.com/in/malexer,,
23,"Founding Engineer in one of the recent jobs, with Flask or FastAPI experience, native Russian, stayed more than 1 year at the recent jobs. Only show people from the U.S.",6.0,Pearch.AI,kirillkliushkin,Exa.AI,ivan-pashnov,https://linkedin.com/in/kirillkliushkin,https://linkedin.com/in/ivan-pashnov,,
879,Full-Stack Software Engineer who is an expert in Ruby on Rails who has worked for an early stage VC backed tech startup with respectable tenures with a bachelors in computer science. Only show people from the U.S.,9.0,PeopleGPT,johnfirebaugh,LinkedIn,zain-i-711280210,https://linkedin.com/in/johnfirebaugh,https://linkedin.com/in/zain-i-711280210,,
820,"I am looking for a former FAANG recruiter, tech-savvy, willing to build a product that will fix hiring for product teams. Only show people from the U.S.",4.0,PeopleGPT,pjvillarreal,Exa.AI,charul-t-857b0120,https://linkedin.com/in/pjvillarreal,https://linkedin.com/in/charul-t-857b0120,,
578,"I am looking for a former FAANG recruiter, tech-savvy, willing to build a product that will fix hiring for product teams. Only show people from the U.S.",7.0,Pearch.AI,troybarba,LinkedIn,pjledorze,https://linkedin.com/in/troybarba,https://linkedin.com/in/pjledorze,,
327,"I am looking for a former FAANG recruiter, tech-savvy, willing to build a product that will fix hiring for product teams. Only show people from the U.S.",9.0,Exa.AI,johnjung,Pearch.AI,alex-dunlop-39b26889,https://linkedin.com/in/johnjung,https://linkedin.com/in/alex-dunlop-39b26889,,
761,"I am looking for a former FAANG recruiter, tech-savvy, willing to build a product that will fix hiring for product teams. Only show people from the U.S.",8.0,Exa.AI,matte2f,PeopleGPT,smita1,https://linkedin.com/in/matte2f,https://linkedin.com/in/smita1,,
692,"I am looking for a former FAANG recruiter, tech-savvy, willing to build a product that will fix hiring for product teams. Only show people from the U.S.",9.0,Pearch.AI,alex-dunlop-39b26889,LinkedIn,sam-abraham91,https://linkedin.com/in/alex-dunlop-39b26889,https://linkedin.com/in/sam-abraham91,,
662,"I am looking for an ASIC Design Verification Engineer.  
Bachelor's or Master's degree in Electrical Engineering, Computer Engineering, or a related field.  Strong experience in chip design, including a good understanding of design verification"".  Proficiency in UVM (Universal Verification Methodology) and/or other verification methodologies.  Solid programming skills in Python, C, C++, Verilog, or SystemVerilog.  Ideal persona: problem-solver, proactive, innovative, thinks outside the box.
I am not interested in those who have frequent job changes. Only show people from the U.S.",5.0,Exa.AI,bryan-chan-53b16312,Pearch.AI,ityaad7,https://linkedin.com/in/bryan-chan-53b16312,https://linkedin.com/in/ityaad7,,
67,"I am looking for an ASIC Design Verification Engineer.  
Bachelor's or Master's degree in Electrical Engineering, Computer Engineering, or a related field.  Strong experience in chip design, including a good understanding of design verification"".  Proficiency in UVM (Universal Verification Methodology) and/or other verification methodologies.  Solid programming skills in Python, C, C++, Verilog, or SystemVerilog.  Ideal persona: problem-solver, proactive, innovative, thinks outside the box.
I am not interested in those who have frequent job changes. Only show people from the U.S.",4.0,PeopleGPT,mingyang-zhang-8554765,Exa.AI,pradeep-s-shet-697a4a115,https://linkedin.com/in/mingyang-zhang-8554765,https://linkedin.com/in/pradeep-s-shet-697a4a115,,
411,"I am looking for an ASIC Design Verification Engineer.  
Bachelor's or Master's degree in Electrical Engineering, Computer Engineering, or a related field.  Strong experience in chip design, including a good understanding of design verification"".  Proficiency in UVM (Universal Verification Methodology) and/or other verification methodologies.  Solid programming skills in Python, C, C++, Verilog, or SystemVerilog.  Ideal persona: problem-solver, proactive, innovative, thinks outside the box.
I am not interested in those who have frequent job changes. Only show people from the U.S.",7.0,Pearch.AI,catalinoeusebio,Exa.AI,yang-yang-65aa594b,https://linkedin.com/in/catalinoeusebio,https://linkedin.com/in/yang-yang-65aa594b,,
451,"I am seeking founders, co-founders, or CEOs of companies founded in the last six years in the USA, specifically in the areas of tax automation, accounting, and company registration.",3.0,Pearch.AI,rajeevbehera,PeopleGPT,kenjikuramoto,https://linkedin.com/in/rajeevbehera,https://linkedin.com/in/kenjikuramoto,,
617,I'm looking for a VP or Head of Sales for a health tech Series A startup Has successfully built and managed a team of 10 sales reps Ideally located in Los Angeles CA. This person needs to have at least 3 years of experience working as VP or Head of Sales.,5.0,Pearch.AI,tarrant-moses-b9289919,LinkedIn,terry-daniels-2432a25a,https://linkedin.com/in/tarrant-moses-b9289919,https://linkedin.com/in/terry-daniels-2432a25a,,
859,I'm looking for a VP or Head of Sales for a health tech Series A startup Has successfully built and managed a team of 10 sales reps Ideally located in Los Angeles CA. This person needs to have at least 3 years of experience working as VP or Head of Sales.,8.0,LinkedIn,sagar-patel-01,Exa.AI,andrew-shane,https://linkedin.com/in/sagar-patel-01,https://linkedin.com/in/andrew-shane,,
436,I'm looking for a VP or Head of Sales for a health tech Series A startup Has successfully built and managed a team of 10 sales reps Ideally located in Los Angeles CA. This person needs to have at least 3 years of experience working as VP or Head of Sales.,1.0,LinkedIn,kathleenpoulos,Pearch.AI,peter-longo-a97aa13,https://linkedin.com/in/kathleenpoulos,https://linkedin.com/in/peter-longo-a97aa13,,
59,"Looking for C level or senior executives currently running innovation and strategy at large corporations. I only need senior level full time employees, avoid consultants. Only show people from the U.S.",8.0,Exa.AI,philmarks81,Pearch.AI,deborah-golden,https://linkedin.com/in/philmarks81,https://linkedin.com/in/deborah-golden,,
753,Looking for a project manager who have built small teams from the scratch and who must have an experience in building simple BROWSER web games. Only show people from the U.S.,9.0,Exa.AI,rparasiliti,Pearch.AI,eric1a,https://linkedin.com/in/rparasiliti,https://linkedin.com/in/eric1a,,
198,Looking for in house recruiter based in san Francisco at top VC backed companies (between seed - series C) with under 3 years of experience out of college,8.0,Exa.AI,techtiffrecruits,LinkedIn,nora-shafi-b6665a1b8,https://linkedin.com/in/techtiffrecruits,https://linkedin.com/in/nora-shafi-b6665a1b8,,
590,Seeking a CEO who co-founded a $1B startup. Only show people from the U.S.,9.0,Pearch.AI,thazhmon,PeopleGPT,faviero,https://linkedin.com/in/thazhmon,https://linkedin.com/in/faviero,,
584,"UX designer with respectable tenures in the bay area who has AI experience, early-stage tech company experience, and is focused on human centered design",1.0,Pearch.AI,hanleyweng,LinkedIn,vikas-bhutani-04804a24,https://linkedin.com/in/hanleyweng,https://linkedin.com/in/vikas-bhutani-04804a24,,
973,"UX designer with respectable tenures in the bay area who has AI experience, early-stage tech company experience, and is focused on human centered design",2.0,LinkedIn,jan-newberry,PeopleGPT,pranavijavangula,https://linkedin.com/in/jan-newberry,https://linkedin.com/in/pranavijavangula,,
10,VP of Marketing based in LA with strong understandings of data analytics,6.0,PeopleGPT,dani-shalmone,Pearch.AI,stephaniekingho,https://linkedin.com/in/dani-shalmone,https://linkedin.com/in/stephaniekingho,,
210,VP of Marketing based in LA with strong understandings of data analytics,0.0,PeopleGPT,cameron-heymans-47b5ab38,LinkedIn,nadia-langha,https://linkedin.com/in/cameron-heymans-47b5ab38,https://linkedin.com/in/nadia-langha,,
626,a Head of People Performance for a SaaS company. They need to have experience in a big 4 consultancy and skilled at building processes and analysing data. Only show people from the U.S.,4.0,LinkedIn,anoop-soni,Pearch.AI,nick-lobuglio-5a9312b,https://linkedin.com/in/anoop-soni,https://linkedin.com/in/nick-lobuglio-5a9312b,,
296,a Head of People Performance for a SaaS company. They need to have experience in a big 4 consultancy and skilled at building processes and analysing data. Only show people from the U.S.,6.0,Pearch.AI,kttucker,Exa.AI,emilyyee,https://linkedin.com/in/kttucker,https://linkedin.com/in/emilyyee,,
837,a perception engineer experienced with sensor fusion at a venture backed company with at least 5 years experience. Only show people from the U.S.,3.0,Pearch.AI,pengfeiren,LinkedIn,ashish-ghatge,https://linkedin.com/in/pengfeiren,https://linkedin.com/in/ashish-ghatge,,
902,a perception engineer experienced with sensor fusion at a venture backed company with at least 5 years experience. Only show people from the U.S.,1.0,PeopleGPT,diya-li,Pearch.AI,krithika-swaminathan-920a7713,https://linkedin.com/in/diya-li,https://linkedin.com/in/krithika-swaminathan-920a7713,,
621,a perception engineer experienced with sensor fusion at a venture backed company with at least 5 years experience. Only show people from the U.S.,9.0,LinkedIn,bingai1985,PeopleGPT,sheng-wan-873a5123,https://linkedin.com/in/bingai1985,https://linkedin.com/in/sheng-wan-873a5123,,
96,a perception engineer experienced with sensor fusion at a venture backed company with at least 5 years experience. Only show people from the U.S.,7.0,Exa.AI,jeff-c-j-kuo-8429007b,LinkedIn,kgnandanwar,https://linkedin.com/in/jeff-c-j-kuo-8429007b,https://linkedin.com/in/kgnandanwar,,
924,a perception engineer experienced with sensor fusion at a venture backed company with at least 5 years experience. Only show people from the U.S.,4.0,Exa.AI,yuquan-x-983080a1,Pearch.AI,premavn,https://linkedin.com/in/yuquan-x-983080a1,https://linkedin.com/in/premavn,,
883,a senior UX designer who is in san francisco that has been a founding ux designer,1.0,LinkedIn,marshainteractive,Pearch.AI,thecoreyhunt,https://linkedin.com/in/marshainteractive,https://linkedin.com/in/thecoreyhunt,,
218,digital marketer manager with experience in the biotech. Only show people from the U.S.,4.0,LinkedIn,monicapmendoza,PeopleGPT,scott-kane-柯世杰-5bb4a739,https://linkedin.com/in/monicapmendoza,https://linkedin.com/in/scott-kane-柯世杰-5bb4a739,,
947,engineers with security clearance from top engineering programs. Only show people from the U.S.,5.0,PeopleGPT,kevin-oishi-ab865839,Pearch.AI,joshua-snodgrass-a3a4184a,https://linkedin.com/in/kevin-oishi-ab865839,https://linkedin.com/in/joshua-snodgrass-a3a4184a,,
382,engineers with security clearance from top engineering programs. Only show people from the U.S.,1.0,Pearch.AI,dale-synnes-ba603634,LinkedIn,brianogbonna,https://linkedin.com/in/dale-synnes-ba603634,https://linkedin.com/in/brianogbonna,,
328,engineers with security clearance from top engineering programs. Only show people from the U.S.,7.0,LinkedIn,mary-karimova-598290337,Exa.AI,ccook95,https://linkedin.com/in/mary-karimova-598290337,https://linkedin.com/in/ccook95,,
307,for a CMO with crypto experience and with strong techincal background. Only show people from the U.S.,4.0,PeopleGPT,amykloh,Exa.AI,jamesschwahn,https://linkedin.com/in/amykloh,https://linkedin.com/in/jamesschwahn,,
636,for a CMO with crypto experience and with strong techincal background. Only show people from the U.S.,5.0,Exa.AI,juliet-meyer,LinkedIn,aaellis,https://linkedin.com/in/juliet-meyer,https://linkedin.com/in/aaellis,,
280,for a CMO with crypto experience and with strong techincal background. Only show people from the U.S.,1.0,Pearch.AI,andrewstief,PeopleGPT,abemezrich,https://linkedin.com/in/andrewstief,https://linkedin.com/in/abemezrich,,
741,founder of fintech startup. Only show people from the U.S.,4.0,LinkedIn,haider-naeem,Exa.AI,ravibalasubramanian,https://linkedin.com/in/haider-naeem,https://linkedin.com/in/ravibalasubramanian,,
513,founders who sold their companies or did an IPO. Only show people from the U.S.,3.0,LinkedIn,luke-mcentee-0872aa132,Exa.AI,drewhouston,https://linkedin.com/in/luke-mcentee-0872aa132,https://linkedin.com/in/drewhouston,,
439,full-stack ruby on rails engineer with founding experience who is a person of color. Only show people from the U.S.,5.0,Exa.AI,lionel-mason-mpa,PeopleGPT,mattelhotiby,https://linkedin.com/in/lionel-mason-mpa,https://linkedin.com/in/mattelhotiby,,
938,full-stack ruby on rails engineer with founding experience who is a person of color. Only show people from the U.S.,7.0,Exa.AI,oscaryih,LinkedIn,miral-p-b2b53377,https://linkedin.com/in/oscaryih,https://linkedin.com/in/miral-p-b2b53377,,
604,"looking for a CTO with experience in AI and machine learning, who has also led a team of 50+ developers. Bonus if they have a background in cybersecurity. Only show people from the U.S.",7.0,LinkedIn,naimimami,Pearch.AI,christopher-hemminger-78610221b,https://linkedin.com/in/naimimami,https://linkedin.com/in/christopher-hemminger-78610221b,,
660,"looking for a CTO with experience in AI and machine learning, who has also led a team of 50+ developers. Bonus if they have a background in cybersecurity. Only show people from the U.S.",1.0,Pearch.AI,jeff-johnson-9487a25,LinkedIn,cklam12345,https://linkedin.com/in/jeff-johnson-9487a25,https://linkedin.com/in/cklam12345,,
221,"owners and CEO of Amazon paid social agencies, who work with largest brands. Only show people from the U.S.",4.0,Exa.AI,matt-osborn-3340712a,LinkedIn,egbe-iyamu-86053a160,https://linkedin.com/in/matt-osborn-3340712a,https://linkedin.com/in/egbe-iyamu-86053a160,,
174,"owners and CEO of Amazon paid social agencies, who work with largest brands. Only show people from the U.S.",3.0,PeopleGPT,radhikaiyengar13,Pearch.AI,sid-mikhail,https://linkedin.com/in/radhikaiyengar13,https://linkedin.com/in/sid-mikhail,,
371,"owners and CEO of Amazon paid social agencies, who work with largest brands. Only show people from the U.S.",3.0,LinkedIn,jacquelinemartoral,PeopleGPT,radhikaiyengar13,https://linkedin.com/in/jacquelinemartoral,https://linkedin.com/in/radhikaiyengar13,,
370,"owners and CEO of Amazon paid social agencies, who work with largest brands. Only show people from the U.S.",8.0,LinkedIn,christina-b-542440146,Pearch.AI,nyezhnyk,https://linkedin.com/in/christina-b-542440146,https://linkedin.com/in/nyezhnyk,,
107,"owners and CEO of Amazon paid social agencies, who work with largest brands. Only show people from the U.S.",5.0,Exa.AI,bryan-fuentes,PeopleGPT,mashley,https://linkedin.com/in/bryan-fuentes,https://linkedin.com/in/mashley,,
549,"owners and CEO of Amazon paid social agencies, who work with largest brands. Only show people from the U.S.",7.0,LinkedIn,jeffer1224,Exa.AI,justin-cook-bb102939,https://linkedin.com/in/jeffer1224,https://linkedin.com/in/justin-cook-bb102939,,
139,product manager social referral and community mechanics in apps. Only show people from the U.S.,8.0,Pearch.AI,william-newlon-95b515179,LinkedIn,product-winston,https://linkedin.com/in/william-newlon-95b515179,https://linkedin.com/in/product-winston,,
543,product manager social referral and community mechanics in apps. Only show people from the U.S.,6.0,Pearch.AI,duke-yancey-8a0a2b12,LinkedIn,bryonhart,https://linkedin.com/in/duke-yancey-8a0a2b12,https://linkedin.com/in/bryonhart,,
101,"python developer with 5+ years of experience with experience in Django and React, also AWS, worked in JPMorgan. Only show people from the U.S.",6.0,Exa.AI,joseph-zambrano-b4325416a,LinkedIn,hashimmuhammad,https://linkedin.com/in/joseph-zambrano-b4325416a,https://linkedin.com/in/hashimmuhammad,,
39,"python developer, russian speaking, 7+ years of experience. Only show people from the U.S.",7.0,LinkedIn,zura-papiashvili123456,PeopleGPT,kachayev,https://linkedin.com/in/zura-papiashvili123456,https://linkedin.com/in/kachayev,,
787,"python developer, russian speaking, 7+ years of experience. Only show people from the U.S.",9.0,PeopleGPT,talaman,Pearch.AI,joshua-gray-65a99549,https://linkedin.com/in/talaman,https://linkedin.com/in/joshua-gray-65a99549,,
542,"python developer, russian speaking, 7+ years of experience. Only show people from the U.S.",5.0,PeopleGPT,dbkaplun,Exa.AI,vladimir--kharchenko,https://linkedin.com/in/dbkaplun,https://linkedin.com/in/vladimir--kharchenko,,
589,rust/go engineer with embedded coding experience for AI robotics startup Los Angeles. Only show people from the U.S.,9.0,LinkedIn,ragheb-raad-548262162,Exa.AI,varun-kamath,https://linkedin.com/in/ragheb-raad-548262162,https://linkedin.com/in/varun-kamath,,
